time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-09-25T04:28:37.460Z,-32.5456,-177.4917,10,5.9,mwp,,72,3.311,0.98,us,us10006shr,2016-09-27T16:18:22.000Z,"181km SE of L'Esperance Rock, New Zealand",earthquake,9.2,1.9,0.089,14,reviewed,us,us
2016-09-25T01:23:45.510Z,-30.2982,-71.8931,10,4.7,mb,,102,0.435,0.86,us,us10006sg4,2016-09-25T02:02:05.305Z,"65km SW of Coquimbo, Chile",earthquake,3.7,1.8,0.106,27,reviewed,us,us
2016-09-25T01:10:10.350Z,-19.6868,-178.0192,577.37,5.1,mb,,45,4.193,0.87,us,us10006sg0,2016-09-25T01:26:21.040Z,"128km NNE of Ndoi Island, Fiji",earthquake,10.3,8.1,0.029,402,reviewed,us,us
2016-09-25T00:28:00.700Z,-32.4296,-177.8788,10,4.9,mb,,173,3.174,1.37,us,us10006sfs,2016-09-25T00:48:34.040Z,"146km SE of L'Esperance Rock, New Zealand",earthquake,7.7,1.9,0.11,26,reviewed,us,us
2016-09-25T00:25:10.550Z,-32.3797,-177.9991,10,4.7,mb,,171,3.125,1.05,us,us10006sfr,2016-09-25T00:41:23.040Z,"135km SE of L'Esperance Rock, New Zealand",earthquake,11.5,1.9,0.108,26,reviewed,us,us
2016-09-24T23:52:03.220Z,-32.3454,-178.0509,10,5.1,mb,,80,3.092,0.83,us,us10006sfk,2016-09-25T00:09:47.040Z,"129km SE of L'Esperance Rock, New Zealand",earthquake,10.1,1.9,0.092,39,reviewed,us,us
2016-09-24T23:42:49.950Z,-32.3725,-178.2476,10,4.9,mb,,83,3.129,1.09,us,us10006sfj,2016-09-24T23:57:58.040Z,"121km SSE of L'Esperance Rock, New Zealand",earthquake,8.2,1.9,0.108,27,reviewed,us,us
2016-09-24T23:27:19.860Z,-32.3193,-178.1965,10,5.2,mb,,66,3.073,1.19,us,us10006sfd,2016-09-24T23:46:47.040Z,"118km SE of L'Esperance Rock, New Zealand",earthquake,9.2,1.9,0.077,55,reviewed,us,us
2016-09-24T21:55:06.560Z,-19.828,-178.2809,587.56,5,mb,,43,4.044,0.96,us,us10006se2,2016-09-24T22:12:34.040Z,"100km NNE of Ndoi Island, Fiji",earthquake,10.5,8.3,0.044,167,reviewed,us,us
2016-09-24T21:28:41.680Z,-19.8499,-178.2738,596.34,6.9,mww,,21,4.061,1.21,us,us10006scr,2016-09-25T01:57:30.000Z,"99km NNE of Ndoi Island, Fiji",earthquake,5.2,4.2,,,reviewed,us,us
2016-09-24T21:07:13.840Z,-18.1267,-175.039,183.37,6.4,mww,,38,4.938,0.93,us,us10006scl,2016-09-25T01:57:29.000Z,"125km WNW of Neiafu, Tonga",earthquake,8.3,4.6,,,reviewed,us,us
